,result,table,_start,_stop,_time,_measurement,label,mobile,alpha,beta,gamma,x,y,z
29,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:05.793000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,-0.1,0.0,0.0,9.9
30,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:05.810000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.1,0.0,0.0,0.0,9.9
31,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:05.826000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
32,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:05.843000+00:00,devicemotion,sitting,UnknownPhone,0.1,0.0,0.0,0.0,0.0,9.9
33,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:05.861000+00:00,devicemotion,sitting,UnknownPhone,0.1,0.0,0.0,0.0,0.0,9.9
34,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:05.877000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
35,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:05.893000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
36,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:05.910000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.1,0.0,0.0,0.0,9.9
37,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:05.926000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.1,0.0,0.0,0.0,9.9
38,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:05.943000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
39,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:05.960000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
40,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:05.976000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
41,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:05.993000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
42,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.010000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
43,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.026000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
44,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.043000+00:00,devicemotion,sitting,UnknownPhone,-0.1,0.0,0.0,0.0,0.0,9.9
45,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.060000+00:00,devicemotion,sitting,UnknownPhone,-0.1,0.1,0.0,0.0,0.0,9.9
46,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.076000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
47,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.105000+00:00,devicemotion,sitting,UnknownPhone,-0.1,0.0,0.0,0.0,0.0,9.9
48,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.110000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.1,0.0,0.0,9.9
49,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.127000+00:00,devicemotion,sitting,UnknownPhone,0.0,-0.1,0.0,0.0,0.0,9.9
50,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.143000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
51,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.160000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
52,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.176000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
53,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.193000+00:00,devicemotion,sitting,UnknownPhone,-0.1,0.0,0.0,0.0,0.0,9.9
54,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.210000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
55,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.226000+00:00,devicemotion,sitting,UnknownPhone,0.1,0.0,0.0,0.0,0.0,9.9
56,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.243000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
57,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.260000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
58,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.276000+00:00,devicemotion,sitting,UnknownPhone,0.1,0.0,0.0,0.0,0.0,9.9
59,_result,1,2021-01-01 00:00:00+00:00,2021-10-04 16:16:00.738177+00:00,2021-04-26 17:04:06.294000+00:00,devicemotion,sitting,UnknownPhone,0.0,0.0,0.0,0.0,0.0,9.9
